id,price,model,mileage,motorcycle_class,year,engine_capacity,engine_strokes,damaged,documents,city,date
46,70 000₽,Yamaha DT50,27 000 км,None,1996,50 куб. см.,2х тактный,Исправен,Есть ПТС,Протвино,21 ноября
47,180 000₽,KTM 85 SX,50 км,Кроссовый,2016,85 куб. см.,2х тактный,Исправен,Без ПТС,Москва,21 ноября
48,350 000₽,BMW G 650 GS,5 100 км,Эндуро,2012,650 куб. см.,4х тактный,Исправен,Есть ПТС,Москва,21 ноября
49,210 000₽,Honda VT 750,78 000 км,Круизер,2001,750 куб. см.,4х тактный,Исправен,Есть ПТС,Москва,20 ноября
50,100 000₽,Kawasaki ZZR 400 2,32 000 км,Спорт-турист,1999,400 куб. см.,4х тактный,Исправен,Есть ПТС,Москва,20 ноября
51,799 000₽,Harley-Davidson Rocker C FXCWC,15 000 км,Чоппер,2011,1 600 куб. см.,4х тактный,Исправен,Есть ПТС,Москва,19 ноября
52,250 000₽,Honda XL 1000V Varadero,107 000 км,Туристический,2002,1 000 куб. см.,4х тактный,Исправен,Есть ПТС,Москва,19 ноября
53,1 750 000₽,Suzuki Intruder,37 000 км,Чоппер,2009,1 800 куб. см.,4х тактный,Исправен,Есть ПТС,Москва,19 ноября
54,210 000₽,Honda CB 400SF Boldor,42 000 км,Спорт-турист,2005,400 куб. см.,4х тактный,Исправен,Есть ПТС,Москва,19 ноября
55,420 000₽,Ducati Monster 796,21 000 км,Классика,2013,800 куб. см.,4х тактный,Исправен,Есть ПТС,Москва,18 ноября
56,310 000₽,KTM RC 390,3 000 км,Спортивный,2017,390 куб. см.,4х тактный,Исправен,Есть ПТС,Москва,14 ноября
57,100 000₽,BSE,1 700 км,Эндуро,2017,250 куб. см.,4х тактный,Исправен,Без ПТС,Москва,13 ноября
58,100 000₽,BSE,900 км,Эндуро,2018,250 куб. см.,4х тактный,Исправен,Без ПТС,Москва,13 ноября
59,605 000₽,BMW K 1300 S,40 000 км,Спорт-турист,2011,1 300 куб. см.,4х тактный,Исправен,Есть ПТС,Москва,12 ноября
60,345 000₽,Ducati Monster 696,17 300 км,Классика,2012,696 куб. см.,4х тактный,Исправен,Есть ПТС,Москва,10 ноября
61,15 000₽,Yamaha YZF R6S,33 783 км,Спортивный,2008,599 куб. см.,4х тактный,None,Есть ПТС,Москва, 8 ноября
62,299 999₽,KTM 390 Duke,1 300 км,Спортивный,2016,390 куб. см.,4х тактный,Исправен,Есть ПТС,Зеленоград, 6 ноября
