id,price,model,mileage,motorcycle_class,year,engine_capacity,engine_strokes,damaged,documents,city,date
46,180 000₽,Kawasaki KLX 250,21 000 км,Эндуро,2006,250 куб. см.,4х тактный,Исправен,Есть ПТС,Москва,31 октября
47,90 000₽,Baltmotors Motard 250,5 000 км,Мотард,2013,250 куб. см.,4х тактный,Исправен,Есть ПТС,Москва,30 октября
48,300 000₽,Yamaha YZF R6,35 000 км,Спортивный,2006,600 куб. см.,4х тактный,Исправен,Есть ПТС,Москва,29 октября
49,125 000₽,Honda CB 400SF,34 000 км,Классика,1997,400 куб. см.,4х тактный,Исправен,Есть ПТС,Москва,29 октября
50,39 000₽,Stels Flame 200,30 000 км,Классика,2012,200 куб. см.,2х тактный,Исправен,Есть ПТС,Москва,28 октября
51,420 000₽,Honda CBR 1000RR Fireblade,41 000 км,Спортивный,2008,1 000 куб. см.,4х тактный,Исправен,Есть ПТС,Москва,28 октября
52,100 000₽,Suzuki RF 400RV,40 000 км,Спорт-турист,1995,400 куб. см.,4х тактный,Исправен,Есть ПТС,Москва,27 октября
53,125 000₽,Suzuki SV 400,26 500 км,Спортивный,2001,400 куб. см.,4х тактный,Исправен,Есть ПТС,Москва,26 октября
54,Цена не указана,Ducati 900SS,30 380 км,Спортивный,2000,900 куб. см.,4х тактный,Исправен,Есть ПТС,Москва,25 октября
55,235 000₽,Yamaha FZS 1000,65 000 км,Спорт-турист,2005,1 000 куб. см.,4х тактный,Исправен,Есть ПТС,Москва,25 октября
56,290 000₽,BMW R 1150 RT,45 000 км,Туристический,2001,1 150 куб. см.,4х тактный,Исправен,Есть ПТС,Москва,24 октября
57,123 000₽,Suzuki GSX 400 Impulse,10 000 км,None,1996,400 куб. см.,4х тактный,Исправен,Есть ПТС,Москва,24 октября
58,370 000₽,Suzuki V-Strom 1000,36 000 км,Туристический,2006,1 000 куб. см.,4х тактный,Исправен,Есть ПТС,Москва,23 октября
59,710 000₽,Suzuki M1800R Intruder,13 000 км,Круизер,2012,1 800 куб. см.,4х тактный,Исправен,Есть ПТС,Москва,22 октября
60,270 000₽,Kawasaki Ninja ZX-6R,25 000 км,Спортивный,2007,600 куб. см.,4х тактный,Исправен,Есть ПТС,Москва,22 октября
61,130 000₽,Racer Enduro RC250-XZR,600 км,Эндуро,2014,250 куб. см.,4х тактный,Исправен,Есть ПТС,Москва,22 октября
62,335 000₽,Honda CBF 600S,29 000 км,Спорт-турист,2011,600 куб. см.,4х тактный,Исправен,Есть ПТС,Москва,21 октября
63,270 000₽,Yamaha TDM 900,57 445 км,Туристический,2004,900 куб. см.,4х тактный,Исправен,Есть ПТС,Москва,21 октября
64,1 000 000₽,Harley-Davidson Softail Custom FXSTC,3 000 км,Кастом,2008,1 584 куб. см.,2х тактный,Исправен,Есть ПТС,Москва,20 октября
65,2 000 000₽,Harley-Davidson Tri Glide Ultra FLHTCUTG,18 000 км,Трайк (трицикл),2016,1 600 куб. см.,4х тактный,Исправен,Есть ПТС,Москва,19 октября
66,2 000 000₽,Black Crown,5 000 км,Чоппер,2005,1 600 куб. см.,4х тактный,Исправен,Есть ПТС,Москва,19 октября
67,550 000₽,Yamaha MT-09,5 000 км,Стритфайтер,2015,850 куб. см.,4х тактный,Исправен,Есть ПТС,Москва,19 октября
68,164 000₽,Husqvarna SM 510R,13 200 км,Мотард,2009,500 куб. см.,4х тактный,Исправен,Без ПТС,Москва,19 октября
69,300 000₽,Honda Steed 400,2 км,Чоппер,1994,400 куб. см.,4х тактный,Исправен,Есть ПТС,Москва,19 октября
70,130 000₽,Yamaha FZ 400,79 000 км,Классика,1997,400 куб. см.,4х тактный,Исправен,Есть ПТС,Москва,19 октября
71,240 000₽,Kawasaki ER-6F,13 000 км,Спортивный,2009,650 куб. см.,4х тактный,Исправен,Есть ПТС,Москва,18 октября
72,180 000₽,Honda CB 400SF VTEC-2,69 754 км,Классика,2002,400 куб. см.,4х тактный,Исправен,Есть ПТС,Москва,17 октября
73,55 000₽,Stels Trigger 125,1 500 км,Мотард,2013,125 куб. см.,4х тактный,Исправен,Есть ПТС,Москва,17 октября
74,400 000₽,BMW F 800 R,31 500 км,Туристический,2013,800 куб. см.,4х тактный,Исправен,Есть ПТС,Москва,16 октября
75,625 000₽,Kawasaki ZR 1000E,786 км,Стритфайтер,2013,1 000 куб. см.,4х тактный,Исправен,Есть ПТС,Москва,15 октября
76,160 000₽,Sym gts 300i EVO,50 000 км,None,2010,300 куб. см.,4х тактный,Исправен,Есть ПТС,Москва,15 октября
77,445 000₽,MV Agusta,27 000 км,Стритфайтер,None,920 куб. см.,4х тактный,Исправен,Есть ПТС,Москва,15 октября
78,300 000₽,KTM 350 SX-F,None,Кроссовый,2013,350 куб. см.,4х тактный,Исправен,Без ПТС,Москва,14 октября
79,110 000₽,Suzuki Grass Tracker Big Boy 250,24 000 км,Классика,2001,250 куб. см.,4х тактный,Исправен,Есть ПТС,Москва,14 октября
80,64 990₽,Минск,1 км,Классика,2018,125 куб. см.,4х тактный,Исправен,Есть ПТС,Москва,13 октября
82,240 000₽,Honda X11,87 000 км,Классика,2001,1 100 куб. см.,4х тактный,Исправен,Есть ПТС,Москва,12 октября
